id	target	replicate
target1_r1	target1	1
target1_r2	target1	2
target1_r3	target1	3
target1_r4	target1	4
target1_r5	target1	5
target2_r1	target2	1
target2_r2	target2	2
target2_r3	target2	3
target2_r4	target2	4
target2_r5	target2	5
target3_r1	target3	1
target3_r2	target3	2
target3_r3	target3	3
target3_r4	target3	4
target3_r5	target3	5
target4_r1	target4	1
target4_r2	target4	2
target4_r3	target4	3
target4_r4	target4	4
target4_r5	target4	5
target5_r1	target5	1
target5_r2	target5	2
target5_r3	target5	3
target5_r4	target5	4
target5_r5	target5	5
NT_r1	NT	1
NT_r2	NT	2
NT_r3	NT	3
NT_r4	NT	4
NT_r5	NT	5
